x,y
-14.02914604,-0.324207756
-13.7182509,-0.26758348
-13.40735614,-0.26758348
-13.05204719,-0.154332337
-12.73004868,-0.097708061
-12.44135988,-0.210957909
-12.14156809,-0.135458011
-11.76405242,-0.116583684
-11.48646735,-0.154332337
-11.15336511,-0.116583684
-10.8757808,-0.097708061
-10.55378154,-0.116583684
-10.2317838,-0.116583684
-9.854267374,-0.135458011
-9.576683064,-0.173209256
-9.310201731,-0.173209256
-8.954892016,-0.078832439
-8.643997254,0.053291735
-8.355309207, 0.20429282708198215
-8.066620397, 0.18541850057259346
-7.65579504,0.072167357
-7.356002492, 0.10991730639526409
-7.089521921,0.09104298
-6.789730135, 0.2797927252127206
-6.467730872, 0.37416824589943865
-6.190146563, 0.5062924196049341
-5.912560729, 0.6384191854036132
-5.50173461, 0.7327934100437403
-5.213046562, 0.8649201758424176
-4.946565991, 1.0536699211692628
-4.602359252, 1.0914198702346312
-4.235948086, 1.1857953909213492
-3.958362252, 1.2990458861407532
-3.691881681, 1.3934214068274713
-3.403192109, 1.563296825644926
-3.081194371, 1.6576716983083486
-3.036779418, 2.1672979547607163
-3.070089108, 2.7146741602784523
-3.070089108, 3.2809259883521698
-2.970158513, 3.7339266731831913
-2.836918227, 4.262427904168241
-2.659264513, 4.470053920074363
-2.51492049, 4.356803424854959
-2.259542132, 4.319052827766296
-2.048578728, 4.186928006037505
-2.004163775, 4.526678843672418
-2.037473465, 4.998554503036118
-2.037473465, 5.508180759488489
-1.859819751, 5.715806775394608
-1.560027965, 5.489306432979099
-1.537820489, 5.923432143277434
-1.62664887, 6.489683971351152
-1.737681679, 7.037059528845592
-1.404580203, 6.867184110028134
-1.249133966, 6.9049347071168015
-1.337959298, 7.433435614090204
-0.882721275, 7.2258105702190285
-0.616239179,6.961559955
-0.283137703, 6.8860597325841155
-0.005551869, 6.753933938820381
0.21651527323120234, 6.508558945883834
0.4607914170938905, 5.980057714898781
0.5829279642053606, 5.583681305642521
0.7494779397955362, 5.074055049190154
0.9937540836582244, 4.602178741803154
1.1714077975730444, 4.262427904168241
1.3490615114878644, 3.866051494911982
1.548922702051975, 3.582926228898419
1.882025702872074, 3.5451762798330506
2.181817488718238, 3.5451762798330506
2.570436131521813, 3.469675733679015
2.8591241790433326, 3.431926432636942
3.1922271798634316, 3.318675937417538
3.469811489060305, 3.111050569534715
3.8140167033851746, 3.092175595002029
4.102704750906696, 3.111050569534715
4.424704013402149, 3.092175595002029
4.735599537572959, 3.0732999724460512
5.057597275, 2.9411751507172603
5.324079370940641, 2.8279246554978563
5.668286110085386, 2.6391742621477157
5.535044299829398, 2.356048348110857
5.290769680786582, 1.8464220916584893
5.723801752068862, 1.808672142593121
5.968077896, 1.8841720407238576
6.278970370462613, 1.789797168060435
6.645384586256643, 1.695421647373717
6.911865157128876, 1.7142966219064029
7.267175634598264, 1.7709221935277526
7.589171847453969, 1.789797168060435
7.855655467965949, 1.563296825644926
8.111032300513532, 1.3745457842714899
8.488547205, 1.4311713558928396
8.777235252513982, 1.4500463304255256
9.199165110291492, 1.2235453399867176
8.888269586120682, 0.9215444514171764
8.577374061949872, 0.6950447570249612
8.299789752752996, 0.5062924196049341
8.044412920205414, 0.22316715359137085
7.766828611008538,0.034417408
7.400414395214504,-0.059958112
7.089518871043694,-0.192082286
6.756418919863343,-0.229833531
6.423315919043244,-0.343084674
6.190143513505202,-0.512960093
5.868147300649497,-0.607334318
5.568355514803333,-0.777209737
5.357390585914576,-0.947085156
4.979874156615772,-1.079210625
4.668978632444965,-1.192461769
4.402496537,-1.362337187
4.124912227555985,-1.40008584
3.736293585,-1.437835789
3.3920883704275404,-1.588836882
3.1256062747354356,-1.683211106
3.0367794177780265,-2.211714281
2.8924353940172676,-2.645839344
2.670366726803868,-2.910088987
2.392782417606993,-3.249839825
2.337265250803643,-3.778341704
1.9930600364787736,-4.080343888
2.0152659883081885,-4.533344573
1.793198845914663,-4.891969737
1.5933376553505543,-5.212846249
1.3934764647864437,-5.665846933
1.2380287027010404,-5.967846526
0.982650345,-6.288724333
0.8049951065988861,-6.609598252
0.6384451310087105,-6.987099039
0.3719630353166057,-7.496725295
0.982650345,-7.553350867
0.594031703,-8.346102389
0.31644586851325585,-8.817979588
0.061069036,-8.591478597
-0.061069036,-8.138477913
-0.20541306,-7.591101707
-0.371963035,-7.213599624
-0.494102632,-6.628474766
-0.804996631,-6.628474766
-1.027065299,-6.024471693
-0.971546607,-5.533721059
-0.993755608,-5.042970425
-1.093686204,-4.382343076
-1.360166775,-4.193592683
-1.293547394,-3.665091452
-1.193616799,-3.17434017
-1.371268988,-2.815715006
-1.648856347,-2.34383805
-1.837612274,-1.853087416
-2.359472727,-1.834211794
-2.670366727,-1.853087416
-3.32546899,-1.928587314
-3.680777943,-1.513336579
-3.913948823,-1.060335246
-4.691187634,-1.022584649
-5.113115967,-1.135835144
-5.124219705,-0.833834903
-5.523942086,-0.701708786
-6.423317444,-0.456333469
-5.779320444,-0.418583196
-5.201942824,-0.380833246
-4.54684361,-0.361958272
-4.036086895,-0.361958272
-3.336572728,-0.343083297
-2.703677942,-0.343083297
-2.092992157,-0.343083297
-1.715475727,-0.343083297
-1.204719013,-0.324208971
