x,y
-12.99652926, 0.19485412477196107
-12.73004868, 0.15710547175318368
-12.37473973, 0.15710547175318368
-12.0971539, 0.024978705954504576
-11.7862599,0.081604278
-11.46425911, 0.19485412477196107
-11.13115764, 0.2137310433745334
-10.83136585, 0.15710547175318368
-10.54267933, 0.11935552268781535
-10.19847259, 0.10047990013183394
-9.865369587,0.081604278
-9.554475588,-0.012769947
-9.287995017,0.062729951
-8.932684539,0.043855625
-8.632892754,-0.050519896
-8.288689064, 0.10047990013183394
-7.933378587, 0.10047990013183394
-7.647068496, 0.12339898554545137
-7.352037197, 0.1395788311914874
-6.99989987, 0.23665012878815084
-6.761970027, 0.25282867838759415
-6.362247645, 0.3175428767853692
-6.105283475, 0.26900593194044653
-5.71507902, 0.39843692082918025
-5.45811485,0.44697257
-5.144046176, 0.5116854719786961
-4.868047679, 0.6896508136191688
-4.525428277, 0.7058293632186139
-4.23991338, 0.6572937144202822
-3.868741726, 0.6734722640197255
-3.554674577, 0.8029006608152756
-3.307226808, 1.2073669928945563
-3.164468596, 1.5956534793277974
-2.974125332, 1.9677607681383016
-2.688608909, 2.2427980553987332
-2.450679066, 2.6634416410308646
-2.222265623,3.067907325
-1.98433578, 3.294407667502359
-1.9272328, 3.779766099555559
-1.679786556, 3.8606594955760762
-1.422820861, 4.346017279605981
-1.346683555, 4.8475542612586295
-1.441856712,5.332912693
-1.508476092, 5.591770782949524
-1.241995522, 6.1094856661783155
-1.241995522, 6.724273143050365
-1.308614902, 7.209631899115216
-1.327649228, 7.824419051975617
-1.365717881, 8.277420060818283
-1.479925365, 8.876028340067592
-1.537028345, 9.587887438547952
-1.318132828, 9.183422402515266
-1.118271637, 8.924564312877571
-0.880341793, 8.520098952833237
-0.651928351,8.147990692
-0.433032834, 7.808239854352877
-0.204619391, 7.419953367919632
-0.014274601, 6.950774133489173
-0.014274601, 6.433058602237082
-0.014274601,5.850628225
0.14751488668936297, 5.446163188531234
0.29979254825610013, 4.993161207653621
0.32834327558247445, 4.572518270044785
0.32834327558247445, 4.2651245316087625
0.47109996185408853, 3.9900878923716263
0.6614462764025735, 3.6018014059383816
0.6804790780735726, 3.0355489298413687
0.8517895413113088, 2.809049235449155
1.203925343802407, 2.8252277850486003
1.4989596916407582, 2.6634416410308646
1.8225447668054837, 2.4692983978142458
2.0604746103513403, 2.2266195057992917
2.3745417598606924, 2.1942624066004015
2.6410223307329215, 2.0486548121821144
3.002676058879393, 1.8868686681643787
3.250123828080625, 1.8706888225183427
3.583226828900724, 1.854511568965492
3.8782581270993273, 1.6603676777255743
4.192325276608678, 1.498582181731134
4.4588088971206545, 1.4176894337339156
4.782393972, 1.3044382904912162
5.077425270483985, 1.3367953896901064
5.458114849941204, 1.2882584448451837
5.734113346, 1.175009893695666
6.000593917341039, 1.045580200853525
6.2956282651793884, 0.9808660024557501
6.657281993325864, 1.0779385960990027
6.952316341164213, 1.1102956952978928
7.294934217999938, 1.2073669928945563
7.609004417149038, 1.175009893695666
7.913550591363265, 1.1911871472485203
8.199067013546244, 1.1911871472485203
8.541687940021717, 1.239722796046852
8.808171560533697, 1.255902641692888
9.160304313385044, 1.3206168400906613
9.483889389, 1.2882584448451837
9.788438612403748, 1.352973939289548
10.140577464534594, 1.352973939289548
10.435611812372947, 1.4662250825322474
10.768711763553295, 1.4662250825322474
11.082778913062647, 1.5309379848834332
11.39684606, 1.5309379848834332
11.69188346, 1.579473633681765
12.04401621290145, 1.6118320289272425
12.31049678377368, 1.6603676777255743
12.596013205956655, 1.6765462273250158
12.748290867523394, 1.6765462273250158
12.548429676959284, 1.0941158496518568
12.358083362410799, 0.5925795160225054
12.13918937017569, 0.1395788311914874
11.948846105266956,-0.329601699
11.64429383177323,-0.281064754
11.349262533574628,-0.200172006
11.035195384065275,-0.216351852
10.721128234555923,-0.281064754
10.416575961062197,-0.361958798
10.112023687568474,-0.394315898
9.816992389369869,-0.491387195
9.474371462894396,-0.539922844
9.188855041,-0.491387195
8.865273015186443,-0.507567041
8.551205866,-0.539922844
8.208587988841366,-0.475208646
7.913550591363265,-0.523744294
7.609004417149038,-0.459031392
7.304449094015563,-0.459031392
6.980867068490586,-0.523744294
6.657281993325864,-0.507567041
6.333696918161138,-0.55610269
6.048180495978158,-0.588458493
5.686526767831687,-0.620815592
5.372459618322335,-0.636995438
5.067910394,-0.685531087
4.782393972,-0.750246581
4.449290971465281,-0.79878223
4.144741747611306,-0.863495254
3.811641796430955,-0.863495254
3.516604398952854,-0.928209452
3.193019324,-0.960566551
2.9075029016051523,-0.992924946
2.7457134136625374,-1.49446128
2.5648850247694277,-1.931283415
2.3935745615316915,-2.351928297
2.117576065004087,-3.225573864
2.0414387590405934,-3.743287775
1.8225447668054837,-4.180111206
1.8415775684764828,-4.697826089
1.6702671052387466,-4.811077232
1.679785031,-5.053755476
1.5846149232596272,-5.555293106
1.5275104189671325,-6.089187835
1.5275104189671325,-6.639259817
1.5084745676563838,-7.140796799
1.5084745676563838,-7.67469088
1.6036477249306262,-8.160049312
1.6893029565494952,-8.72630114
1.784476113823736,-9.195481671
1.8796462214582306,-9.697018004
1.9462686514060987,-10.29562564
1.9843373043878465,-10.82952036
2.031920833385218,-11.37959364
2.069989486366966,-11.89730853
2.098543263333088,-12.36648906
2.136611916314834,-12.93274088
2.155644717985835,-13.40192012
1.8510954941318563,-13.22395607
1.5465432206381315,-13.06216928
1.2419939967841547,-12.85184684
0.9374447729301778,-12.70623989
0.6328924994364513,-12.5444544
0.32834327558247445,-12.38266761
0.0047582,-12.28559501
0.052344779054870116,-11.70316593
0.1570328123447382,-11.2339867
0.042826853399496656,-10.70009197
-0.06186118,-10.21473418
-0.109447759,-9.680839455
-0.19510299,-9.163123275
-0.204619391,-8.596871447
-0.271240296,-8.111513663
-0.337861201,-7.577619582
-0.375929854,-7.01136905
-0.461585086,-6.493652223
-0.528204466,-5.927401043
-0.528204466,-5.377328413
-0.518688065,-4.92432708
-0.537722392,-4.293361053
-0.70903133,-3.905074243
-0.870823868,-3.484431953
-0.9659955,-3.015250127
-1.013582079,-2.772571883
-1.460891039,-2.659322035
-1.784474589,-2.481356694
-2.089025338,-2.287213451
-2.621988004,-2.028356657
-3.307226808,-1.753319208
-3.611777556,-1.67242646
-3.906810379,-1.494462414
-4.163774549,-1.267960128
-4.420740244,-1.203247225
-4.801426774,-1.154711576
-5.096461122,-1.18706738
-5.343907366,-0.992924784
-5.638941714,-0.879673641
-6.571626762,-0.798780893
-5.97204319,-0.685531046
-5.657976041,-0.572281199
-5.343907366,-0.52374555
-5.01080589,-0.491387155
-4.706255142,-0.52374555
-4.097155169,-0.507565704
-3.135917869,-0.507565704
-1.908198474,-0.52374555
-0.604341772,-0.52374555
